CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time,OFFICERS_AT_SCENE
1702325,16000105010,2016105010,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 17:36,3XX BLOCK OF 2 AV S,K,K3,9200.2028,-122.33081,47.600464,"(47.600464, -122.33081)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,,3
1702326,16000105007,2016105007,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 17:31,S FINDLAY ST / 46 AV S,R,R3,10300.2004,-122.27538,47.55191,"(47.55191, -122.27538)",UNKNOWN - COMPLAINT OF UNKNOWN NATURE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,,2
1702327,16000105002,2016105002,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,3/26/16 17:29,12 AV / E PIKE ST,E,E2,7500.4006,-122.31683,47.614105,"(47.614105, -122.31683)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,,0
1702328,16000104957,2016104957,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 17:28,4XX BLOCK OF S DAWSON ST,O,O2,9300.3167,-122.32896,47.555634,"(47.555634, -122.32896)",TRESPASS,TRESPASS,TRESPASS,,3
1702329,16000104941,2016104941,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 17:30,GREENWOOD AV N / N 84 ST,J,J3,2900.1,-122.3553,47.689835,"(47.689835, -122.3553)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,,3
1702330,16000104933,2016104933,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 17:29,51 AV S / S HOLLY ST,S,S2,11102.2008,-122.26991,47.542492,"(47.542492, -122.26991)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,,3
1702331,16000104823,2016104823,52,BURGLARY - COMMERCIAL,COMMERCIAL BURGLARIES,BURGLARY,3/26/16 17:32,31XX BLOCK OF S ALASKA ST,R,R2,10100.3009,-122.29204,47.56078,"(47.56078, -122.29204)","BIAS -RACIAL, POLITICAL, SEXUAL MOTIVATION",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 15:21,2
1702332,16000104752,2016104752,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",3/26/16 17:30,46XX BLOCK OF S FINDLAY ST,R,R3,10200.4025,-122.27476,47.55191,"(47.55191, -122.27476)","NOISE - DISTURBANCE (PARTY, ETC)",DISTURBANCES,DISTURBANCES,,4
1702333,16000105020,2016105020,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,3/26/16 17:39,3 AV S / S LANDER ST,O,O1,9300.3014,-122.32999,47.579807,"(47.579807, -122.32999)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,,0
1702334,16000105018,2016105018,363,MISSING PERSON,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",3/26/16 17:37,59XX BLOCK OF 46 AV SW,W,W2,10600.6004,-122.391174,47.54945,"(47.54945, -122.391174)",MISSING - CHILD,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",,2
1702335,16000105001,2016105001,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 17:40,8 AV / PIKE ST,M,M2,8200.101,-122.332245,47.612072,"(47.612072, -122.332245)","WEAPN - GUN,DEADLY WPN (NO THRTS/ASLT/DIST)",WEAPONS CALLS,WEAPONS CALLS,,3
1702336,16000104999,2016104999,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,3/26/16 17:39,DELRIDGE WY SW / SW ALASKA ST,H,H3,9900.2019,-122.36287,47.561085,"(47.561085, -122.36287)","MOTOR VEHICLE COLLISION, BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,,1
1702337,16000104988,2016104988,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 17:30,N 77 ST / GREENWOOD AV N,J,J3,2900.2003,-122.3553,47.684746,"(47.684746, -122.3553)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,,1
1702338,16000104984,2016104984,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 17:40,S HOLGATE ST / AIRPORT WY S,O,O1,9300.1047,-122.321396,47.586205,"(47.586205, -122.321396)",HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS,HAZARDS,,2
1702339,16000104855,2016104855,186,"NARCOTICS, DRUG TRAFFIC LOITERING",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,3/26/16 17:31,NW 62 ST / 17 AV NW,B,B1,3300.3013,-122.37888,47.67382,"(47.67382, -122.37888)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,3/26/16 15:29,3
1702340,16000104782,2016104782,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 17:38,DENNY WY / 8 AV,D,D2,7200.2001,-122.34137,47.618546,"(47.618546, -122.34137)","WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",WEAPONS CALLS,WEAPONS CALLS,3/26/16 14:03,0
1702341,16000104525,2016104525,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",3/26/16 17:30,40XX BLOCK OF EASTERN AV N,B,B3,5100.2026,-122.32904,47.65612,"(47.65612, -122.32904)",PROPERTY - FOUND,"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",3/26/16 16:20,2
1702342,16000104508,2016104508,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,3/26/16 17:33,10XX BLOCK OF 1 AV W,Q,Q3,7000.6008,-122.35796,47.62822,"(47.62822, -122.35796)",SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),OTHER PROPERTY,THEFT,3/26/16 15:04,3
1702343,16000104981,2016104981,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,3/26/16 17:43,BROADWAY E / E JOHN ST,E,E1,7500.5004,-122.32088,47.619904,"(47.619904, -122.32088)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,,0
1702344,16000104978,2016104978,161,TRESPASS,TRESPASS,TRESPASS,3/26/16 17:43,10XX BLOCK OF S JACKSON ST,G,G1,9100.1002,-122.31843,47.599186,"(47.599186, -122.31843)",TRESPASS,TRESPASS,TRESPASS,,2
1702345,16000104969,2016104969,74,LICENSE PLATE THEFT OR LOSS,CAR PROWL,CAR PROWL,3/26/16 17:47,62XX BLOCK OF 35 AV NE,U,U3,4200.4006,-122.29026,47.674885,"(47.674885, -122.29026)","AUTO - THEFT/LOSS, PLATES AND/OR TAB",AUTO THEFTS,AUTO RECOVERIES,3/26/16 16:58,4
1702346,16000104932,2016104932,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,3/26/16 17:42,NE 47 ST / ROOSEVELT WY NE,U,U2,5301.2006,-122.31742,47.663116,"(47.663116, -122.31742)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,3/26/16 16:14,1
1702347,16000104898,2016104898,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 17:52,13XX BLOCK OF ALASKAN WY,M,M1,8100.1015,-122.34087,47.606407,"(47.606407, -122.34087)","FRAUD - FORGERY,BUNCO, SCAMS, ID THEFT, ETC",FRAUD CALLS,FRAUD CALLS,,2
1702348,16000104893,2016104893,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 17:45,1XX BLOCK OF YESLER WY,K,K1,8100.1036,-122.33404,47.601723,"(47.601723, -122.33404)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,3/26/16 15:46,3
1702349,16000105036,2016105036,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,3/26/16 17:56,SR509 SB / W MARGINAL WY SW OFF RP,F,F3,11200.2066,-122.33491,47.534718,"(47.534718, -122.33491)",TRAFFIC - MOVING VIOLATION,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,,2
1702350,16000105030,2016105030,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 18:02,19XX BLOCK OF 6 AV,M,M2,7200.1061,-122.33794,47.61417,"(47.61417, -122.33794)",TRESPASS,TRESPASS,TRESPASS,,1
1702351,16000105026,2016105026,341,"HARBOR - DEBRIS, NAVIGATIONAL HAZARDS",HARBOR CALLS,HARBOR CALLS,3/26/16 17:44,21XX BLOCK OF N NORTHLAKE WY,B,B3,5400.2012,-122.3325,47.648296,"(47.648296, -122.3325)","HARBOR - WATER DEBRIS, NAVIGATIONAL HAZARDS",HARBOR CALLS,HARBOR CALLS,,3
1702352,16000105021,2016105021,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 18:01,142XX BLOCK OF LINDEN AV N,H,H2,401.1006,-122.34777,47.731678,"(47.731678, -122.34777)",TRESPASS,TRESPASS,TRESPASS,,1
1702353,16000105011,2016105011,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 18:02,11 AV / E PIKE ST,E,E2,7500.4006,-122.31814,47.614094,"(47.614094, -122.31814)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,,3
1702354,16000105000,2016105000,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 17:57,PHINNEY AV N / N 63 ST,B,B2,3500.2016,-122.35436,47.67457,"(47.67457, -122.35436)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,,3
1702355,16000104920,2016104920,363,MISSING PERSON,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",3/26/16 17:56,3XX BLOCK OF 21 AV E,C,C2,7600.2002,-122.3047,47.622295,"(47.622295, -122.3047)",MISSING - CHILD,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",3/26/16 16:16,1
1702356,16000104880,2016104880,51,"BURGLARY - RESIDENTIAL, OCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,3/26/16 17:58,2XX BLOCK OF YESLER WY,H,H3,9200.2014,-122.33112,47.60172,"(47.60172, -122.33112)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,,2
1702357,16000104619,2016104619,40,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,3/26/16 17:52,1 AV NW / NW 85 ST,J,J1,2900.1001,-122.35799,47.69061,"(47.69061, -122.35799)",FIGHT - IP - PHYSICAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,3/26/16 11:41,1
1702358,16000104605,2016104605,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,3/26/16 17:51,64XX BLOCK OF 8 AV NW,B,B2,3400.1007,-122.366035,47.675625,"(47.675625, -122.366035)","FRAUD - FORGERY,BUNCO, SCAMS, ID THEFT, ETC",FRAUD CALLS,FRAUD CALLS,3/26/16 16:32,0
1702360,16000104739,2016104739,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,3/26/16 18:07,61XX BLOCK OF NE RADFORD DR,U,U3,4100.1002,-122.26142,47.674934,"(47.674934, -122.26142)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,3/26/16 14:57,4
1702361,16000104607,2016104607,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",3/26/16 18:14,45XX BLOCK OF CORLISS AV N,B,B3,5100.1012,-122.33135,47.662,"(47.662, -122.33135)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 16:06,1
1702362,16000105056,2016105056,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,3/26/16 18:20,5 AV S / S KING ST,H,H1,9100.2003,-122.327675,47.598354,"(47.598354, -122.327675)",DETOX - PICKUP (FIRE / POLICE STANDING BY),LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,,3
1702363,16000105022,2016105022,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 18:23,4XX BLOCK OF OLIVE WY,M,M2,8100.2001,-122.33797,47.612423,"(47.612423, -122.33797)",THEFT OF SERVICES,OTHER PROPERTY,THEFT,,3
1702364,16000105013,2016105013,161,TRESPASS,TRESPASS,TRESPASS,3/26/16 18:14,4XX BLOCK OF BROADWAY E,H,H1,7500.3005,-122.320915,47.62256,"(47.62256, -122.320915)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,,1
1702365,16000104997,2016104997,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 18:17,125XX BLOCK OF 33 AV NE,L,L3,100.3003,-122.292496,47.72101,"(47.72101, -122.292496)",PROPERTY - DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,3/26/16 17:21,1
1702366,16000104948,2016104948,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,3/26/16 18:19,51 AV S / RENTON AV S,S,S3,11700.4011,-122.27003,47.51715,"(47.51715, -122.27003)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,3/26/16 16:45,1
1702367,16000104928,2016104928,41,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",3/26/16 18:10,4XX BLOCK OF BROADWAY E,E,E1,7400.2,-122.320915,47.62256,"(47.62256, -122.320915)","HARAS - NO BIAS, THREATS OR MALICIOUSNESS","THREATS, HARASSMENT","THREATS, HARASSMENT",3/26/16 16:20,3
1702368,16000104919,2016104919,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,3/26/16 18:14,21XX BLOCK OF ELLIOTT AV,D,D1,8002.2016,-122.34564,47.611404,"(47.611404, -122.34564)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,3/26/16 16:43,1
1702369,16000104843,2016104843,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,3/26/16 18:17,12 AV E / E JOHN ST,E,E1,7500.5,-122.31693,47.619934,"(47.619934, -122.31693)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,3/26/16 14:58,2
1702370,16000104571,2016104571,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,3/26/16 18:12,86XX BLOCK OF 14 AV S,F,F3,11200.3008,-122.31492,47.526016,"(47.526016, -122.31492)",SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),OTHER PROPERTY,THEFT,3/26/16 15:05,1
1702372,16000104753,2016104753,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,3/26/16 18:24,51 AV S / RAINIER AV S,S,S3,11800.401,-122.26972,47.520145,"(47.520145, -122.26972)",FIGHT - JO - PHYSICAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,3/26/16 13:44,2
1702373,16000105076,2016105076,410,ABANDONED VEHICLE,PARKING VIOLATIONS,TRAFFIC RELATED CALLS,3/26/16 18:38,105XX BLOCK OF 55 AV S,H,H2,11900.5012,-122.264786,47.506573,"(47.506573, -122.264786)",ABANDONED VEHICLE,TRAFFIC RELATED CALLS,PARKING VIOLATIONS,,2
1702374,16000104946,2016104946,71,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,3/26/16 18:32,4XX BLOCK OF N 34 ST,B,B2,4900.2021,-122.352905,47.650112,"(47.650112, -122.352905)",AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,AUTO THEFTS,AUTO RECOVERIES,3/26/16 17:05,3
1702375,16000104929,2016104929,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,3/26/16 18:30,4 AV NE / E GREEN LAKE WY N,J,J3,3600.4012,-122.326836,47.678555,"(47.678555, -122.326836)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,3/26/16 17:24,3
1702376,16000104888,2016104888,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,3/26/16 18:39,21XX BLOCK OF N NORTHGATE WY,N,N3,1200.5008,-122.33266,47.708656,"(47.708656, -122.33266)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,3/26/16 15:45,4
1702377,16000105081,2016105081,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,3/26/16 18:49,12 AV S / S JACKSON ST,G,G1,9100.1004,-122.31722,47.599186,"(47.599186, -122.31722)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,,3
1702378,16000105045,2016105045,184,"NARCOTICS, OTHER",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,3/26/16 18:57,1XX BLOCK OF 13 AV E,C,C1,7500.2002,-122.31561,47.61936,"(47.61936, -122.31561)","NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",NARCOTICS COMPLAINTS,NARCOTICS COMPLAINTS,,1
1702379,16000105034,2016105034,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,3/26/16 18:57,11XX BLOCK OF 16 AV,C,C3,7900.3002,-122.31148,47.612225,"(47.612225, -122.31148)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,,2
1702380,16000104895,2016104895,53,BURGLARY - UNOCCUPIED STRUCTURE ON RESIDENTIAL PROPERTY,RESIDENTIAL BURGLARIES,BURGLARY,3/26/16 18:45,27XX BLOCK OF EASTLAKE AV E,D,D3,6100.3016,-122.32588,47.645058,"(47.645058, -122.32588)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,3/26/16 16:50,1
1702381,16000104530,2016104530,63,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,3/26/16 18:42,28XX BLOCK OF S JUNEAU ST,S,S1,10401.3006,-122.29542,47.549896,"(47.549896, -122.29542)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,3/26/16 12:10,0
1702382,16000105093,2016105093,64,SHOPLIFT,THEFT,SHOPLIFTING,3/26/16 18:52,22XX BLOCK OF WESTLAKE AV,D,D2,7300.302,-122.33844,47.618244,"(47.618244, -122.33844)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,,2
1702383,16000105067,2016105067,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,3/26/16 19:00,38XX BLOCK OF LINDEN AV N,B,B2,4900.2007,-122.34859,47.65343,"(47.65343, -122.34859)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,,2
1702384,16000105053,2016105053,203,ALACAD - RESIDENTIAL PANIC (FALSE),PANIC ALACAD (FALSE),FALSE ALACAD,3/26/16 18:53,17XX BLOCK OF NW 58 ST,H,H3,4700.3011,-122.38055,47.670906,"(47.670906, -122.38055)",ALARM - RESIDENTIAL - SILENT/AUD PANIC/DURESS,ALACAD,SUSPICIOUS CIRCUMSTANCES,,1
1702385,16000104977,2016104977,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,3/26/16 18:57,MONTLAKE BV E / E HAMLIN ST,C,C2,6200.2042,-122.30461,47.645554,"(47.645554, -122.30461)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,3/26/16 17:25,2
1702386,16000105069,2016105069,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,3/26/16 19:04,14XX BLOCK OF E OLIVE WY,E,E1,7402.3009,-122.32654,47.617405,"(47.617405, -122.32654)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,,1
1702387,16000105058,2016105058,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,3/26/16 19:03,11XX BLOCK OF 24 AV,H,H1,8800.1007,-122.30142,47.612263,"(47.612263, -122.30142)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,,1
1702388,16000104970,2016104970,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,3/26/16 19:03,N 90 ST / PHINNEY AV N,J,J1,1701.2015,-122.35397,47.694214,"(47.694214, -122.35397)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,,3
1702389,16000104961,2016104961,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,3/26/16 19:01,56XX BLOCK OF 22 AV NW,B,B1,4700.4007,-122.38474,47.66982,"(47.66982, -122.38474)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,3/26/16 17:09,3
